Timestamp,Key,Interval_ms,Chars_per_Second,Error_Count
28/10/2024 18:47,[SPACE],16,"62,5",0
28/10/2024 18:47,u,16,"62,51",0
28/10/2024 18:47,n,16,"62,5",0
28/10/2024 18:47,[SPACE],16,"62,5",0
28/10/2024 18:47,p,16,"62,49",0
28/10/2024 18:47,l,16,"62,51",0
28/10/2024 18:47,a,"16,02","62,42",0
28/10/2024 18:47,c,16,"62,48",0
28/10/2024 18:47,e,16,"62,52",0
28/10/2024 18:47,r,"15,98","62,58",0
28/10/2024 18:47,[SPACE],16,"62,49",0
28/10/2024 18:47,i,"16,02","62,41",0
28/10/2024 18:47,n,"16,3","61,36",0
28/10/2024 18:47,f,"16,02","62,42",0
28/10/2024 18:47,o,"15,55","64,32",0
28/10/2024 18:47,r,"16,47","60,73",0
28/10/2024 18:47,m,16,"62,48",0
28/10/2024 18:47,a,"15,66","63,84",0
28/10/2024 18:47,r,"16,32","61,27",0
28/10/2024 18:47,t,"16,15","61,93",0
28/10/2024 18:47,e,"16,01","62,46",0
28/10/2024 18:47,[SPACE],15,"66,67",0
28/10/2024 18:47,q,"16,79","59,58",0
28/10/2024 18:47,u,"15,73","63,56",0
28/10/2024 18:47,e,"16,27","61,47",0
28/10/2024 18:47,[SPACE],"16,25","61,55",0
28/10/2024 18:47,t,"15,09","66,27",0
28/10/2024 18:47,u,"16,72","59,82",0
28/10/2024 18:47,c,"15,6","64,09",0
28/10/2024 18:47,o,"16,01","62,47",0
28/10/2024 18:53,[SPACE],104,"9,62",31
28/10/2024 18:53,p,297,"3,37",31
28/10/2024 18:53,r,110,"9,09",31
28/10/2024 18:53,o,108,"9,26",31
28/10/2024 18:53,g,119,"8,4",31
28/10/2024 18:53,r,168,"5,95",31
28/10/2024 18:53,a,55,"18,18",31
28/10/2024 18:53,m,132,"7,58",31
28/10/2024 18:53,a,187,"5,35",31
28/10/2024 18:53,r,118,"8,47",31
28/10/2024 18:53,[SPACE],96,"10,42",31
28/10/2024 18:53,e,204,"4,9",31
28/10/2024 18:53,n,96,"10,42",31
28/10/2024 18:53,[SPACE],104,"9,62",31
28/10/2024 18:53,p,129,"7,75",31
28/10/2024 18:53,y,40,25,31
28/10/2024 18:53,t,260,"3,85",31
28/10/2024 18:53,h,155,"6,45",31
28/10/2024 18:53,o,277,"3,61",31
28/10/2024 18:53,n,224,"4,46",31
28/10/2024 18:53,[CTRL],145,"6,9",31
28/10/2024 18:53,,82,"12,2",31
28/10/2024 18:53,[BACKSPACE],504,"1,98",32
28/10/2024 18:53,e,315,"3,17",32
28/10/2024 18:53,s,101,"9,9",32
28/10/2024 18:53,o,109,"9,17",32
28/10/2024 18:53,[SPACE],113,"8,85",32
28/10/2024 18:53,v,"86,99","11,5",32
28/10/2024 18:53,a,"81,74","12,23",32
28/10/2024 18:53,",","109,65","9,12",32
